"","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG14516",2001.60395744843,2644.721762849,2857.4838926715,5012.01380399582,540.821348840797,7244.16781010984,5394.43121358989,909.98085306456,275.397591322375
"CG14518",0,0,0,3.11959156865841,0.774815686018334,0,1.93881557934224,2.67641427371929,9.32114924475732
"CG14521",244.038916087778,126.555473154275,46.7800910123575,15.2080088972098,0,34.6979831245282,79.4914387530319,179.319756339193,338.950881627539
"CG14523",42.0199458164385,43.1439113025939,124.746909366287,38.2149967160656,255.68917638605,100.238617915304,67.8585452769784,203.407484802666,141.511993079498
"CG14526",2380.59154567746,1556.05706764689,1303.6052028777,350.174153581907,2140.04092478264,747.934302906497,216.50107302655,1335.53072258593,430.467619666974
"CG14527",137.372899784511,16.538499332661,20.2713727720216,24.566783603185,776.36531739037,23.1319887496855,14.2179809151764,24.0877284634737,18.6422984895146
"CG14528",38.7876422920971,111.455104198368,74.848145619772,35.8753030395718,794.186078168792,161.923921247798,61.3958266791709,398.785726784175,169.475440813769
"CG14529",0.808075881085356,0,0,1.94974473041151,267.311411676325,96.3832864570229,140.240993572422,321.169712846315,444.025654932076
"CG14535",395.149105850739,220.033947643229,207.391736821452,19.4974473041151,34.0918901848067,19.2766572914046,49.7629332031175,85.6452567590174,138.122484263222
"CG14537",3.23230352434142,6.47158669538908,37.424072809886,23.3969367649381,0,0,2.58508743912299,725.308268177929,1124.46954979936
"CG14538",0,0,0,0,0,0,0,10.7056570948772,6.77901763255078
"CG14540",610.097290219444,541.456086847553,948.076511183779,643.025812089715,210.749866596987,0,3.23135929890373,5722.17371721185,6351.09214449601
"CG14543",1370.49669432076,1589.13406631221,1386.25003033286,730.374376012151,886.389144804974,358.545825620125,424.600611875951,149.87919932828,192.354625323628
"CG14544",34.7472628866703,17.9766297094141,162.950650359712,159.879067893744,97.62677643831,242.885881871698,221.671247904796,42.8226283795087,22.8791845098589
"CG14545",185.049376768547,135.184255414794,84.2041638222435,719.845754467929,41.0652313589717,1295.39136998239,1035.97379122854,93.6744995801753,5.93164042848193
"CG14546",146.261734476449,108.578843444861,89.6618411070186,144.671058996534,24.7941019525867,0,0.646271859780747,682.48563979842,919.404266414699
"CG14551",0,0,7.79668183539292,1.94974473041151,0,3.85533145828091,7.75526231736896,90.998085306456,75.4165711621274
