"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CR44114",484.276679479556,-8.98114636730498,1.09280897558969,-8.21840465069264,2.06228107234926e-16,6.03953742616568e-14,0,2.87608940581098,0,3.89921542014902,0,1322.37888208156,1050.32493359898,1196.67008387287,782.340910936634
"CG10725",2492.35816388723,12.0874917431933,1.47683075084108,8.18475084995984,2.72867590876842e-16,7.83129985816535e-14,961.491974161049,992.250845004787,628.277405972579,123.215207276709,19716.0225744287,3.8553320177305,2.58541522116672,2.67711428159478,0.847606620733081
"Jon66Ci",49569.4542258489,14.4742413418886,1.7796450324229,8.13321818575392,4.18041226625187e-16,1.17625325530813e-13,81995.0659847156,85867.0872551896,67723.7832609226,72.9153283567866,210448.845100766,0,10.3416608846669,5.35422856318955,1.69521324146616
"CR45144",363.19508064994,-11.549038776458,1.42342776954854,-8.11354044337698,4.91658210396573e-16,1.35678756138285e-13,0,0,0,0,0.774665929607038,1025.51831671631,821.515686525725,784.39448450727,636.552572170544
"CG14419",1457.91096514775,13.7430404130942,1.70350072460968,8.06752836353686,7.17355439731818e-16,1.94227369059464e-13,2053.87613303982,1907.56629840413,1381.27489253525,242.531199133269,7535.95016321727,0,0,0,0
"Muc18B",5636.43521773131,12.1505766602185,1.50821958736321,8.05623846953286,7.86780698573243e-16,2.09079685639371e-13,8436.08210270211,9246.62743968229,6217.29601741599,112.297404100292,26704.2839254138,0,2.58541522116672,5.35422856318955,3.39042648293233
"CR44969",1270.29353094694,-7.14124184551747,0.886764954991854,-8.05313945405417,8.06968689955638e-16,2.10545467288426e-13,42.0147753414912,17.2565364348659,63.9190413024212,34.7030172393263,4.64799557764223,2051.03663343262,1533.79757995716,4494.87487879763,3190.39132043932
"CG3588",1702.84628497636,14.268543597464,1.78157694629761,8.00894040929087,1.15700950950182e-15,2.96483686809841e-13,1618.37682709629,1260.44618209666,1250.31880791565,209.387868062002,10987.0868796166,0,0,0,0
"CG14797",169.525631803692,-8.12013550753538,1.01557442721291,-7.99560848516031,1.28935490495315e-15,3.24600752387329e-13,0,0,0,2.33952925208941,0,277.583905276596,303.78628848709,361.410428015295,580.610535202161
"CR44115",132.458480349871,-9.20699131542581,1.15845871570443,-7.94762143062409,1.9012660965188e-15,4.70399456638703e-13,0,0,0,0.779843084029804,0,346.979881595745,296.676396628881,273.065656722667,274.624545117518
"CR43964",413.091645776999,-6.22381081785887,0.783467857262739,-7.94392617407875,1.95880203200203e-15,4.76420494224223e-13,1.61595289774966,0,0,19.4960771007451,4.64799557764223,867.449703989362,1359.2820525284,773.686027380891,691.647002518194
"Lcp65Aa",253.002861052549,26.8212180070258,3.38454712768641,7.9246105889978,2.28862393955636e-15,5.4736255887723e-13,25.8552463639946,20.1326258406768,0,0,2231.03787726827,0,0,0,0
"Sgs1",29264.3865982702,12.1290676662411,1.54363785677499,7.85745672989741,3.92011359230679e-15,9.22190656550859e-13,58385.994148593,54463.786055491,43735.4347604261,127.894265780888,106618.821223676,7.710664035461,2.58541522116672,16.0626856895687,21.190165518327
"CR43916",291.013507450281,-8.54089300215709,1.08882028938334,-7.84417142611684,4.35821417304115e-15,1.00522019203559e-12,0,0,0,3.11937233611921,0,659.261775031915,354.848239105132,1062.81436979313,539.07781078624
"CR44704",822.367300156759,-10.0793956448757,1.28521117516506,-7.84259881928054,4.41316181869283e-15,1.00522019203559e-12,0,0,4.67700302212838,3.11937233611921,0,1465.02616673759,2326.87369905005,1523.27802622743,2078.33143403752
"CG15369",217.905237129414,26.6664427609644,3.45120268238327,7.72671013994157,1.10361550105026e-14,2.47451288126113e-12,43.6307282392409,7.19022351452744,0,0,1910.32618241096,0,0,0,0
