"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CG30383",8.87440685696572,-1.2010042484867,1.34462706887245,-0.893187617808263,0.371756707875105,0.831407928525684
"CG30384",35.7995131100722,-0.80186954031802,0.929017021021074,-0.863137619843276,0.388061806171404,0.831407928525684
"CG30385",21.4277191814318,-0.53874781886937,0.964856331675994,-0.558371024972748,0.576591054297903,0.84510688981871
"CG30389",1870.51892860805,0.121611031202204,0.219916165081251,0.552988140536523,0.580271531007922,0.845862286763096
"CG30391",15.0263595675861,-0.583204176953391,1.08947883647194,-0.535305650215275,0.592438519921932,0.847805050797222
"CG30392",117.066380069896,0.360049687421887,0.547029542502988,0.658190571892049,0.510415682297023,0.831618050232817
"CG30393",14.0101151694817,-0.392647956921354,1.11904824219385,-0.350876702287279,0.725680850526172,0.891748980392572
"CG30394",121.211516016089,0.00107309904319893,0.238302299524773,0.00450309982462999,0.996407058317068,0.999131737461952
"CG30395",45.0408661996172,-0.945907173602578,0.84685154265195,-1.11696929858619,0.264007452435226,0.831407928525684
"CG30398",14.121174903033,-0.43955713190652,0.966814363252814,-0.454644809400272,0.649364792258775,0.862317104363406
"CG3040",64.6282082551129,-0.110606439978387,0.420286606778874,-0.263169080799619,0.792420260985109,0.921666993736529
"CG30401",26.3596284093641,-0.667764236136636,0.595735557828614,-1.1209071329745,0.262327394346595,0.831407928525684
"CG30403",26.3071974996583,-1.00744372969255,0.861977034042899,-1.16875936353823,0.242500596957888,0.831407928525684
"CG30409",8.52136161400243,-1.06434042007133,1.15962086469908,-0.917834830738002,0.358705344135354,0.831407928525684
"CG30411",15.0206428061461,-1.08116436895252,1.01194489448764,-1.06840241483696,0.285339028207467,0.831407928525684
"CG30412",17.273142761816,-1.00825561215449,0.96594730012899,-1.04379981394415,0.296578017713541,0.831407928525684
"CG30413",6.90119763945726,-1.26211742805319,1.20297798086443,-1.04916087254254,0.294104083550306,0.831407928525684
"CG30414",19.4288115178798,-1.00119551948284,0.857801652292659,-1.16716436347136,0.243143999319809,0.831407928525684
"CG30415",766.87218639455,0.369114926716638,0.286798868014568,1.28701667922165,0.198088474672116,0.831407928525684
"CG30416",27.2415500981397,-1.00463413996412,1.01201247161197,-0.992709248299971,0.320851666659557,0.831407928525684
"CG30417",10.1376828394134,-0.635123597359432,1.10253903798739,-0.576055427950021,0.564577717286211,0.84269656312935
"CG30419",447.58499078574,-0.0716425351260846,0.308532356010391,-0.232204284997817,0.816379349761998,0.931420466140569
"CG30421",1204.83070437747,0.46302676073935,0.302487766159733,1.53072888407276,0.125836412054474,0.831407928525684
"CG30423",137.497807345963,0.0576218232203512,0.250006370615892,0.230481419647025,0.817717699851743,0.932208250313432
"CG30424",69.6331703479867,-0.390705230273078,0.340804823975053,-1.1464193074382,0.251621697656731,0.831407928525684
"CG30427",64.6651673746918,-0.689127361684188,0.966220090527376,-0.713219864128527,0.475709716244354,0.831407928525684
"CG30428",218.844583477784,0.134098889202343,0.319374647277601,0.419879568855645,0.674573433924644,0.871681572738957
"CG30429",15.3596415095667,-0.766956809318226,1.12801680134999,-0.679916122171536,0.496557572672942,0.831407928525684
"CG30430",7.79478349036521,-0.999114488725587,1.26254216010996,-0.791351386347819,0.428738969858749,0.831407928525684
"CG30431",42.7119224867713,-0.989434049013479,0.511085386177597,-1.93594666522056,0.0528742335409706,0.831407928525684
"CG30432",7.37476081108345,-0.825142779717991,1.22225345837571,-0.675099566348986,0.499612509145758,0.831407928525684
"CG30438",35.6174219025435,-1.57875961536479,0.758448780255375,-2.08156391896788,0.0373823199727541,0.831407928525684
"CG30440",39.2476046335804,-0.626618886902781,0.703906874913131,-0.890201401968281,0.373357752012438,0.831407928525684
"CG30441",4.1609625026606,-2.08382775014114,2.06767542688323,-1.00781182725679,0.313544806888266,0.831407928525684
"CG30447",8.16255132037968,-0.821148917849316,1.24454843965276,-0.659796671376187,0.509384319688581,0.831618050232817
"CG3045",34.0774008860043,-0.373803067395614,0.591184064656787,-0.632295573820356,0.527193755273985,0.832382416352204
"CG30456",64.4812336106699,-0.913199882855273,0.517214396296849,-1.76561188047665,0.0774609854734995,0.831407928525684
"CG30457",11.3562894008806,-0.835138795782745,0.984792708696077,-0.848035112778726,0.396418416203724,0.831407928525684
"CG30458",6.3266566292769,-0.481123722505314,1.14821267104095,-0.41901969438217,0.675201739129091,0.872016791251341
"CG30460",316.600890993315,0.202532851375096,0.356038178338584,0.568851498792053,0.569456922318149,0.843480904708562
"CG30461",0,NA,NA,NA,NA,NA
"CG30463",796.452518217935,-0.137834575782631,0.543813831736364,-0.253459121005683,0.799913446693058,0.923789133982261
"CG30466",39.8201978541029,-0.79126469331154,0.616989119043712,-1.28246134151919,0.199680857796156,0.831407928525684
"CG30467",105.611011111384,0.384635035864118,0.318683601189637,1.20694957138769,0.227451565328563,0.831407928525684
"CG30471",30.457199875459,-1.16614035387155,0.915363049672449,-1.27396485393291,0.202675872213038,0.831407928525684
"CG30472",6.48045810998413,-1.83590155033553,1.40231154980299,-1.30919662652245,0.190467754665618,0.831407928525684
"CG30479",2.24883050960885,-0.895659520056635,1.74064762635258,-0.514555333599273,0.606863784369817,0.849948920016877
"CG30480",0.146651489262765,-1.48789483546736,4.06024140364257,-0.36645477141643,0.714025756017145,0.88676305963414
