"gene","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG11455",533,845,724,1909,2379,415,1725,686,1885
"CG11456",95,98,125,473,316,102,683,64,250
"CG11458",194,42,11,164,0,7,15,22,37
"CG11459",1144,666,514,369,1,22,51,37,53
"CG1146",2112,1653,1624,2807,566,140,1335,922,3612
"CG11470",1327,1444,786,10,5279,0,2,0,2
"CG11474",1171,1159,1020,2142,2286,180,1179,613,1972
"CG11475",22,41,60,152,41,5,54,302,1333
"CG11486",10805,12139,10540,17862,7751,1665,10814,1827,5093
"CG11498",18,34,42,47,10,9,174,14,103
"CG11504",1628,2148,1360,2828,704,221,1834,166,564
"CG11505",9458,9851,9426,19655,5204,2146,10165,2865,9503
"CG11509",424,378,305,82,262,0,4,4,37
"CG11523",388,716,370,1426,301,181,1478,117,348
