"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"tw",242,142,42,110,38,9,14,27,42
"CG13360",765,378,89,456,537,145,257,484,447
"CR44469",19,10,0,0,0,0,0,0,0
"CG16989",642,347,115,1065,846,204,253,375,495
"Rbf",2422,1189,312,5915,6412,1199,1427,2138,3520
"CG13359",37,68,14,8,6,6,4,2,0
"CG13358",68,35,8,40,16,1,5,0,1
"Sec22",2129,782,328,3891,3827,894,1065,1611,2301
"CG43867",1953,878,309,3787,3573,661,826,1122,1821
"CG14635",18,15,5,0,0,0,0,0,0
"CG3713",75,66,19,33,29,6,14,11,4
"CG14634",31,24,16,11,0,0,0,0,0
"CG11664",60,35,18,1,0,0,2,0,0
"CG11663",23,30,19,0,0,0,11,0,0
"CG3711",769,368,123,1523,1441,301,322,483,794
"MED22",614,324,123,1239,1191,298,383,611,906
"CG3708",53,57,11,25,10,1,4,0,0
"CG3706",134,79,41,337,185,28,77,146,130
"CG32815",280,219,55,159,141,34,89,106,158
"TRAM",2445,1124,395,4406,3837,757,1158,2432,2041
"CG3704",659,283,86,1160,1132,248,346,474,740
"mus81",457,208,82,1372,1300,307,264,326,698
"CG3703",179,143,36,122,75,15,32,34,37
"CG3699",99,38,29,213,237,21,19,24,74
"CG3690",303,215,77,137,115,28,32,108,58
"CR45476",13,12,2,0,0,0,0,0,0
"CG18823",34,42,14,38,3,0,14,11,0
"TfIIA-S-2",24,42,13,0,0,1,4,0,6
"CG14631",35,21,1,0,0,0,2,0,0
"su(w[a])",3758,1553,529,6251,5099,1022,1593,2983,3194
"CG11638",255,148,20,155,131,18,57,81,95
"CG32814",87,83,33,14,33,9,22,32,38
"CG3021",352,203,43,676,635,113,173,245,392
"CDC45L",767,373,160,2192,2168,430,521,546,1309
"CG33082",72,32,10,21,27,0,23,31,55
"CG14630",333,140,53,260,246,47,98,292,238
"CG42259",379,177,45,401,445,106,112,260,212
"CR44779",795,384,147,1106,800,227,148,278,372
"CG14629",1383,649,216,2585,1993,565,715,1237,1169
"CG3655",2907,1182,454,5703,4889,1148,1310,1935,3364
"CG14628",21,17,1,0,0,0,3,3,0
"eIF4E-7",123,44,12,0,3,0,2,0,0
"CG34320",21,12,18,0,0,0,5,0,0
"CG11378",577,255,85,811,744,132,295,601,470
"CG11384",117,87,26,42,5,0,6,12,3
"CG11379",73,57,8,18,4,2,6,4,0
"CG14627",86,74,22,14,9,0,0,0,6
"CG14626",143,80,21,17,14,3,21,5,7
"CG11380",157,152,41,101,109,19,61,23,41
"CG14625",164,101,36,21,12,5,14,10,23
"CG11381",3946,1595,583,10644,14068,2033,4150,4692,14096
"CG14624",76,34,9,24,11,0,23,52,4
"CG11382",169,128,24,219,306,26,95,172,144
"CG11398",281,175,65,628,500,63,140,131,245
"CG3638",5949,2460,887,12539,11745,2491,3140,5143,6964
"CG11403",276,217,59,750,762,132,171,193,446
"Atf3",4244,1422,557,6122,4916,1773,1824,3354,3468
"CG32812",92,49,38,36,10,5,2,1,1
"DAAM",1955,963,273,4689,4916,842,1036,1412,2637
"CG32811",30,5,5,6,0,0,0,3,0
"fs(1)N",3929,1701,559,7424,8029,1408,1669,2957,4543
"CG11409",555,228,79,221,284,36,86,161,143
"CG11412",3395,1513,487,5931,5580,1389,1728,3052,3972
"CG11418",432,247,72,580,753,82,162,244,306
"Tsp2A",342,145,54,612,677,118,172,512,295
"CG12773",1583,631,240,3132,2706,566,760,1214,1677
"CG11417",2788,1331,369,5036,4281,1146,1425,2067,3156
"png",253,173,82,840,920,203,252,240,561
"CG14770",34,23,3,0,37,0,7,0,1
"ssx",3822,1815,563,9707,8888,1929,2266,3703,5379
"mir-4961",0,0,0,0,0,0,0,0,0
"AMPKalpha",1590,669,169,2718,2844,421,682,1005,1284
"CG3719",644,163,102,864,833,165,267,430,506
"CG32813",1027,470,163,933,763,219,253,552,433
"CG11448",2419,980,345,4715,3914,971,1015,1837,2483
"futsch",4543,1723,588,4203,3175,935,1039,2023,2115
"Gr2a",20,8,8,0,4,0,9,0,0
"CG14785",108,65,22,141,85,6,19,42,48
"CG14786",681,350,94,1128,984,188,306,501,556
"CG14787",55,62,8,34,18,6,6,0,0
"Ns3",1142,424,138,1852,1751,280,490,915,1065
"O-fut2",321,126,42,432,453,74,120,217,318
"CG14777",327,127,46,153,145,49,79,143,126
"CG14778",62,48,15,40,46,3,21,19,18
"CG32808",89,39,15,4,8,0,17,3,5
"pck",395,261,95,777,807,178,220,294,434
"CG14780",64,58,8,35,12,7,11,0,3
"Rab27",85,112,32,120,121,7,23,23,37
"mei-38",354,239,59,1039,1128,209,249,172,530
"rush",1467,719,210,2905,2645,614,639,1068,1459
"sta",23010,10220,2414,39765,38210,6725,10457,16399,19282
"snoRNA:M",0,0,0,0,0,0,0,0,0
"snoRNA:Me28S-G980",0,0,0,0,0,0,0,0,0
"inc",2824,1310,402,5063,5008,1182,1460,2782,3220
"Nmdar2",558,387,149,200,214,36,95,150,138
"CG14795",52,32,1,23,15,1,18,26,23
"Mur2B",20257,9863,4347,42806,49575,10428,23894,22199,57653
"snmRNA:400",0,0,0,0,0,0,0,0,0
"br",3399,1665,556,4440,3294,931,935,2301,2290
"CG11509",158,104,24,235,176,62,33,140,147
"dor",466,293,89,705,819,127,201,364,517
"CG3740",197,38,15,341,300,72,104,133,149
"hfw",1159,428,177,1817,1547,302,474,741,937
"CG32809",1361,673,237,2404,2064,483,553,890,1120
"CG14797",219,151,40,28,0,0,9,7,1
"b6",84,122,33,37,34,0,8,0,3
"CG14798",73,52,15,94,61,14,21,22,42
"a6",443,243,51,1357,1274,199,247,327,610
"CG3795",54,44,15,22,0,0,12,0,0
"Scgdelta",242,203,75,124,117,19,41,36,63
"CG42666",1718,784,289,2678,2145,643,741,1008,1829
"Adar",1361,610,266,1619,1166,258,356,538,921
"mir-981",22,9,1,0,0,0,0,0,0
"CG32806",55,39,10,12,18,4,1,7,6
"CG14810",72,33,12,4,0,0,9,3,0
"CG14811",61,55,14,0,2,0,3,0,3
"CG14812",416,169,40,469,592,100,200,295,358
"deltaCOP",1499,621,214,3039,2314,594,654,1312,1389
"CG14814",4320,2270,764,15442,16694,2895,3711,4148,8939
"MED18",208,126,34,446,440,99,107,213,204
"Pex5",463,258,76,919,811,110,213,389,412
"CG14803",435,339,91,959,1106,184,280,287,618
"Pgam5",666,426,106,1364,1387,277,366,750,822
"Vps26",3302,1316,527,6363,5848,1373,1614,2718,3888
"CG14817",371,160,59,538,379,89,117,202,248
"CG14805",1081,558,141,2012,1846,421,542,768,1081
"CG14818",598,221,71,662,583,147,159,442,376
"CG14806",312,196,46,773,513,123,167,248,328
"trr",2367,954,318,5359,4804,1037,1203,1840,3167
"mRpL16",297,175,56,628,571,99,164,241,269
"arm",4587,1816,703,11362,10829,2083,2559,3599,5531
"CG32803",183,89,31,228,234,37,65,61,114
"CR43864",95,87,27,13,1,2,3,0,4
"CG32801",61,51,25,0,15,10,3,7,5
"Edem1",874,439,155,1284,1246,221,324,459,576
"mip130",909,395,149,1745,1839,326,470,738,1041
"Rbcn-3B",2612,991,376,4051,3572,771,998,1769,2147
"eIF2B-epsilon",643,418,54,1204,962,182,271,387,502
"Ocrl",1676,868,236,3330,3141,638,836,1178,1979
"CG11596",1446,687,217,2767,2102,580,714,1055,1512
"CG3857",282,156,55,310,319,112,127,146,256
"CG3587",240,114,33,471,397,61,93,186,176
"Hr4",1459,1029,248,2234,2240,354,501,1044,1779
"CG4406",266,130,51,458,416,53,129,168,317
"CR45478",28,22,2,0,0,7,4,4,9
"mir-2496",2,9,2,0,2,0,0,0,0
"east",11240,4807,1711,31453,27769,5994,7393,10251,18077
"Actn",4406,1680,477,7225,6554,1417,1716,2982,4246
"mir-4954",40,27,5,27,19,3,5,11,20
"usp",1649,727,205,3963,4087,675,986,1371,2175
"CG4313",373,220,69,325,271,58,72,123,176
"CG4325",143,59,26,92,112,43,37,53,60
"moody",960,344,131,1117,790,237,295,460,681
"Sik2",471,262,87,240,205,57,118,127,137
"CR44896",59,29,9,0,0,0,3,0,0
"CG4281",1547,753,210,3903,3775,696,937,1335,2114
"CG14054",36,46,27,13,2,0,5,0,4
"CR44381",71,41,12,44,97,2,13,20,58
"CG4199",1113,557,145,1543,1770,371,518,769,989
"CG4194",94,47,22,51,53,3,20,17,32
"CR44382",30,41,19,80,41,20,7,28,42
"CG4061",292,175,64,466,432,54,126,176,293
"CG4045",561,258,85,835,719,227,273,495,553
"CG4025",132,53,33,133,72,21,31,51,39
"CG16903",1288,514,145,2321,1927,446,586,932,1086
"Unc-76",1369,549,202,2176,2432,503,603,751,1436
"csw",5846,2318,762,10760,9257,2172,2410,4158,6016
"snoRNA:Me18S-C1024",25,5,1,11,2,0,1,9,1
"ph-d",1042,558,151,2609,2206,428,491,842,1444
"ph-p",833,415,150,886,628,180,318,511,511
"CG3835",1810,618,209,2209,2042,463,569,1006,930
"Pgd",2947,977,418,4329,4465,850,1143,2107,2256
"bcn92",1028,534,128,1777,1797,400,538,1031,1165
"wapl",5186,2397,770,15847,15459,2908,3495,4654,8306
"Cyp4d1",191,115,49,113,154,24,24,86,38
"CG3630",2798,1005,265,3852,3621,924,1098,1829,2022
"mir-3641",0,0,0,0,0,0,0,0,0
"CG3621",1200,541,130,1884,1722,357,571,867,923
"Cyp4d14",188,82,38,92,32,13,12,33,46
"CR45479",192,99,56,147,40,22,16,21,22
"CR44690",401,211,83,208,190,58,97,120,192
"Cyp4d2",339,167,61,283,182,45,45,108,75
"Cyp4ae1",261,109,26,158,111,16,52,54,83
"pn",212,96,42,474,379,60,100,99,163
"Nmd3",1328,612,200,1928,1789,361,580,1018,1337
"CG17776",407,272,72,792,793,151,240,383,451
"CG17777",30,50,13,34,23,2,14,12,28
"CG3457",330,143,47,916,796,114,206,201,382
"Mct1",2309,966,287,3325,3206,718,1059,1577,2268
"CG14053",126,93,24,204,104,30,58,70,64
"CR43637",90,68,15,10,5,1,9,4,0
"CG18031",144,97,38,74,74,18,18,57,62
"msta",326,174,70,165,149,32,59,47,68
"Vinc",1128,525,158,2807,2358,472,660,1020,1512
"CG14052",77,47,17,38,13,3,9,4,7
"pcx",3802,1393,584,6890,7147,1479,1477,2659,4040
"kz",1319,496,175,1622,1492,372,522,746,1239
"fs(1)K10",1493,526,270,2970,2640,544,726,1195,1481
"Or2a",64,46,21,42,5,5,2,2,8
"crn",580,331,99,983,885,196,289,378,539
"CG3191",129,80,22,140,79,23,33,36,32
"CG3091",705,326,128,905,710,183,275,427,487
"CG3078",286,193,86,85,83,20,32,41,38
"temp",416,229,86,835,860,138,238,349,419
"CG3071",1091,476,160,1750,1625,348,486,825,1111
"CG2924",4523,1900,617,12084,11872,2490,2828,3577,7193
"CR45480",22,26,2,20,2,10,11,1,4
"CG2918",7563,2729,971,17489,13829,3661,3092,6465,7614
"Vml",6228,6131,1576,20813,20939,1107,6004,10370,11791
"CG2865",3878,1500,552,7599,6584,1411,1785,2926,4610
"phl",1068,556,169,2097,2266,391,517,702,1104
"CR34052",18,15,7,2,0,0,1,3,4
"CG14050",70,58,15,45,31,6,26,16,17
"CG2854",108,107,39,21,5,0,5,0,9
"CR33218",29,29,17,0,4,4,4,0,2
"Ilp6",634,243,66,543,386,122,230,337,473
"mRpL14",206,132,26,320,380,79,77,193,166
"ptr",3498,1374,438,7254,6026,1267,1660,2258,4063
"PsGEF",1153,735,207,760,500,171,203,407,323
"CG12496",80,57,12,26,2,0,3,0,3
"CG32797",62,32,17,15,0,0,4,0,3
"gt",135,90,21,103,69,30,10,31,31
"tko",665,304,87,1354,1196,243,336,467,591
"boi",1015,438,194,2341,2215,386,563,673,1248
"z",1025,471,162,2548,2434,462,640,844,1346
"trol",10545,3766,1225,15312,12617,3370,3105,7007,7226
"mir-4955",4,6,1,10,0,0,0,0,0
"Pdfr",564,324,119,519,427,121,165,249,338
"Vha36-3",179,85,44,125,109,28,41,72,56
"CG13759",113,50,10,7,6,5,14,6,10
"CG13760",480,282,78,969,955,185,277,439,627
"wds",1256,738,180,2837,2697,522,728,1247,1861
"egh",6066,2387,772,11169,10015,2278,3177,4625,7168
"Klp3A",1406,654,199,3567,3603,634,855,977,2045
"Zw10",1412,922,222,3177,3403,878,984,1527,2022
"Bzd",284,187,44,657,520,87,157,171,316
"CG8636",2156,902,308,3759,3824,654,1047,1571,2044
"Tsp3A",317,168,70,557,483,97,135,186,361
"Seipin",496,239,88,763,683,110,230,308,399
"brv3",98,97,22,28,0,0,5,0,6
"PI4KIIIalpha",2272,973,353,4011,4470,743,950,1483,2000
"sgg",8796,3930,1216,12181,10746,2875,3865,6724,7852
"CR45197",0,0,0,0,0,0,0,0,0
"HLH3B",72,54,23,6,1,0,2,3,0
"CG2652",29,28,13,0,0,0,4,0,2
"CR44470",59,54,26,0,0,0,4,0,3
"per",514,310,71,463,264,59,207,336,261
"CG2650",74,52,28,31,10,5,3,8,8
"CG2658",772,433,137,1303,1292,232,309,583,813
"CG2662",320,213,75,1014,929,203,241,311,530
"Csat",428,231,75,664,640,114,117,293,311
"eIF2B-beta",720,477,104,902,935,231,350,767,697
"CG2680",293,105,42,358,211,75,87,160,88
"CG2681",295,167,56,177,94,22,29,99,84
"CG2685",591,262,102,1004,1111,219,277,376,718
"CG2694",865,483,144,2856,2828,439,628,753,1504
"CG2701",654,312,125,1080,964,226,247,437,575
"fs(1)Yb",191,198,39,48,24,9,22,29,38
"fs(1)Ya",1127,651,157,2863,3281,500,631,987,1445
"CG2709",51,43,9,16,12,1,5,11,9
"dwg",330,248,81,650,641,99,220,253,402
"ttm50",1085,424,116,1898,1918,356,474,750,991
"CG2712",264,121,51,328,452,77,110,154,222
"crm",1957,992,324,6556,6061,1300,1453,1963,3651
"Syx4",308,155,71,267,187,37,88,156,114
"kirre",662,455,120,465,280,101,87,172,217
"CR43494",41,25,11,0,0,0,3,0,0
"CG32795",1509,647,244,2715,2586,564,750,1305,1597
"w",226,169,46,205,93,29,75,82,59
"CG12498",39,44,21,2,0,4,5,1,0
"CG14416",107,40,9,0,9,0,5,0,0
"CG14417",45,32,9,27,1,0,0,0,2
"CG14418",130,62,4,17,5,0,15,3,15
"CG14419",426,227,82,286,361,143,208,338,535
"CG3526",63,58,26,20,5,1,5,1,5
"CG3588",384,170,53,166,220,75,89,120,187
"CG14424",36,45,23,4,14,0,3,6,5
"CG32793",183,129,26,1,2,2,7,2,2
"CG3592",63,33,16,12,0,0,1,0,1
"CG3598",54,41,20,10,1,0,0,0,0
"CG14420",98,47,19,23,1,0,13,3,2
"CG14421",55,38,8,0,16,0,0,0,19
"CG14422",53,42,14,0,3,0,5,2,5
"CG14423",41,44,12,1,2,0,4,8,1
"CG17959",17,23,9,0,0,0,1,0,0
"CG3603",191,87,24,296,226,23,77,62,163
"rst",670,417,147,1105,1080,203,219,250,585
"CG4116",85,70,20,45,19,2,12,25,18
"N",4409,1907,613,10768,10112,1906,2184,3141,5779
"CG18508",1499,745,225,2283,1777,620,716,1288,1763
"Fcp3C",770,382,132,1264,861,260,380,332,1318
"CG3939",682,416,105,1006,1168,230,332,608,766
"dnc",6582,3077,864,10660,8190,2427,2369,4802,5581
"CG14265",31,14,8,10,0,0,0,8,0
"ng2",15,12,0,0,0,0,0,0,0
"ng3",17,19,5,0,0,0,7,0,0
"ng1",14,7,4,5,1,0,2,0,0
"ng4",23,29,11,11,0,4,3,0,0
"Pig1",26,37,13,0,3,0,6,5,3
"Sgs4",41,41,30,81,18,8,6,13,17
"CR44886",52,8,8,27,17,4,1,0,17
"CG10793",80,75,25,23,4,0,7,0,3
"dm",16020,4774,2022,26109,16169,5323,5316,9190,12164
"CR44999",9,15,2,0,1,6,0,0,1
"CG12535",392,258,112,62,36,10,44,17,39
"CG14269",52,41,10,0,1,0,4,0,0
"CG16782",39,65,9,10,2,0,0,0,0
"CG10801",93,73,25,62,17,2,12,5,7
"CG16781",70,59,14,0,2,0,2,0,4
"CG12206",181,170,55,248,185,18,57,115,114
"CG10804",404,226,93,216,87,33,86,102,89
"CG10802",338,164,55,381,437,101,126,247,239
"CG14270",375,184,71,763,888,183,221,395,500
"CG10803",1694,552,216,2496,2009,566,615,1025,1479
"Gas8",160,86,27,0,6,1,12,0,3
"CG32791",905,516,181,538,426,93,141,162,224
"CG13021",66,43,16,12,10,6,3,9,3
"CR34335",33171,9921,4160,68363,74629,8799,17328,10194,29092
"ppk8",134,111,39,9,2,1,10,3,5
"CG2875",962,323,109,1288,1529,288,427,548,917
"AstA-R1",211,110,74,48,30,1,26,16,4
"Ilp7",71,59,18,62,31,2,31,11,59
"Parg",650,240,116,1577,1480,283,348,404,746
"Mnt",10461,5372,1508,21470,18907,4664,5463,11129,13896
"CR45102",1150,327,146,1551,1054,318,364,685,1092
"Rala",3038,1102,398,7136,6632,1524,1595,2114,4492
"tlk",10237,4077,1359,26657,23309,4905,5497,7897,14045
"mir-4962",8,3,0,12,15,0,1,5,0
"HIP-R",2024,858,289,3108,2672,782,988,1494,2438
"CR44117",0,0,0,0,0,0,0,0,0
"CR44118",0,0,0,0,0,0,0,0,0
"Crg-1",78,36,8,12,15,2,14,12,12
"HIP",2528,896,338,3033,2339,909,1112,2165,2897
"fd3F",72,50,37,0,4,0,0,0,1
"ec",968,456,172,1038,685,161,204,375,574
"CG2901",157,126,54,28,7,4,14,2,17
"roX1",287,166,64,312,216,12,25,24,173
"yin",2887,1400,513,8262,8789,1461,1870,2690,4589
"CG2930",2242,761,347,2660,1586,463,797,1296,1266
"VhaAC39-1",4737,1880,607,8786,8640,1770,2194,3992,4616
"CG15239",159,83,36,28,99,4,22,3,76
"CG42541",782,474,152,533,325,132,122,243,197
"CG2938",1359,582,188,2987,2702,576,748,831,1702
"CG2941",398,230,88,985,889,148,198,285,441
"CG32783",28,31,10,0,0,0,10,0,0
"CG32786",0,0,0,0,0,0,0,0,0
"Vap-33A",10788,4433,1532,18460,16919,4360,5064,8859,12020
"lva",5071,2096,698,11030,9393,1826,2226,3924,5355
"CG6428",326,194,40,575,502,103,155,197,313
"CR45481",345,193,61,266,268,52,78,88,166
"CG6414",146,84,21,21,3,0,5,0,1
"CR43298",19,17,4,0,0,0,0,0,0
"CR45482",75,41,19,0,0,0,8,0,2
"CG43689",797,455,137,1197,989,163,243,311,664
"CG6379",493,333,77,949,837,137,246,268,457
"CG15375",63,42,14,33,22,3,6,12,31
"Xpac",306,151,53,614,589,164,153,245,460
"brn",93,66,42,145,144,13,33,31,74
"cib",11318,4852,1934,27573,24080,6024,8290,11212,20079
"Nsun2",708,277,108,920,823,202,311,546,601
"dgt4",172,93,43,431,300,75,107,116,192
"Tip60",774,368,100,1616,1513,341,450,663,960
"tyf",12601,5249,1774,30744,29666,5808,6900,11805,16848
"GlcAT-I",392,152,50,1026,867,150,121,214,410
"Fas2",2742,1192,402,3617,2968,841,980,1865,1946
"CG43288",11,26,4,0,0,0,0,4,0
"CG15571",65,63,43,1118,864,153,310,389,1161
"CG15570",1807,544,372,14641,15819,2069,3551,4789,12970
"Femcoat",299,498,209,5413,4779,788,1386,1354,4918
"Muc4B",1818,1301,322,7576,12053,1729,3840,6785,15433
"CG43134",890,527,185,4098,5073,457,1005,849,1870
"CG43135",26,1,9,10,32,1,32,9,20
"CG15576",49,63,12,0,0,2,2,0,0
"CG12691",25,25,9,11,0,0,0,0,0
"CG15572",115,136,30,0,0,0,6,0,0
"CR45483",18,38,7,0,0,2,4,0,0
"CG15577",13,29,6,0,0,0,0,0,0
"CG15578",25,22,0,0,0,0,0,0,0
"CG12692",75,79,32,20,0,0,8,0,0
"CG15579",35,13,14,0,0,0,4,3,2
"CR44957",97,35,14,1,1,2,1,0,1
"mei-9",449,294,90,949,866,135,232,209,560
"CG2982",1810,828,271,4920,4606,794,1230,1442,2567
"mRpL33",848,379,145,1170,1272,309,391,793,874
"norpA",6018,2548,855,8884,6889,2185,2231,4242,5082
"CG12693",103,47,30,36,0,0,1,2,0
"mir-982",5,8,5,0,0,0,0,0,0
"mir-303",0,4,2,0,0,0,0,0,0
"CG3626",751,408,87,1062,1058,175,248,434,607
"mir-983-2",0,0,0,0,0,0,0,0,0
"mir-983-1",0,0,0,0,0,0,0,0,0
"mir-984",0,6,3,0,0,0,3,0,0
"CR43614",72,61,16,8,0,0,7,0,0
"CR45484",13,29,6,0,4,0,5,0,2
"CG12688",42,39,24,5,3,0,3,2,0
"CR32773",121,80,35,63,69,15,11,17,41
"bi",545,364,112,552,285,82,123,171,229
"CG3556",579,299,66,591,343,119,170,325,273
"rb",1768,782,270,3425,3187,738,760,1204,2186
"CHOp24",1031,351,182,1806,1385,341,374,651,780
"CG3568",210,100,47,191,131,27,53,94,103
"Usf",1275,581,139,2782,2421,503,558,916,1399
"CG15912",67,42,19,26,30,6,19,2,10
"CG11436",308,134,47,443,432,105,136,205,271
"CG3527",356,199,41,533,536,152,175,286,389
"CG11444",1642,684,246,2869,2644,540,870,1464,1656
"CG3546",175,90,43,37,0,0,25,2,0
"CG12684",23,54,16,0,4,0,4,4,0
"peb",2604,947,411,3402,2739,699,1016,2214,2365
"CG12184",100,97,31,15,25,10,9,5,16
"CG12179",1098,520,187,2596,2777,546,706,806,1559
"pon",244,238,46,784,553,197,135,144,202
"CG3081",97,76,24,9,0,0,9,3,0
"CG3062",17,37,5,10,0,0,0,0,0
"HLH4C",90,70,28,14,1,0,6,2,0
"mRpL30",782,402,117,1125,1026,269,355,678,645
"Torsin",539,231,111,1368,1095,229,239,327,606
"Cbp80",1218,579,223,2724,2751,483,670,877,1371
"CG15473",200,124,59,31,4,1,18,3,3
"CG3009",202,154,36,94,54,10,39,55,27
"rap",1672,758,286,3988,3985,787,1001,1424,2205
"Pp2C1",4506,1871,647,11472,10471,2375,2644,3199,6598
"ctp",11751,4690,1572,25519,21746,5409,5869,8958,12590
"l(1)G0334",3959,1652,565,8325,7449,1426,2006,3535,4179
"CG7024",90,76,30,15,11,4,8,10,5
"Proc-R",444,231,82,403,297,79,108,186,233
"CG15472",67,59,10,11,0,0,2,0,0
"Bteb2",50,41,6,10,3,1,3,1,0
"CR45515",12,7,6,3,0,0,0,0,0
"CG2871",62,24,4,16,0,0,6,0,0
"CG15471",28,25,6,12,0,0,1,0,0
"CG6978",84,74,35,1,0,0,8,0,4
"CG2861",414,228,82,80,42,19,44,46,30
"CR45516",8,9,0,0,4,0,0,0,0
"CG12682",47,37,18,0,2,0,0,0,0
"CG42594",262,179,68,91,66,24,39,48,61
"CR43495",24,3,7,0,0,0,2,0,0
"CG12681",82,46,24,22,6,6,12,3,4
"CG6927",875,427,158,3171,2490,409,572,568,1478
"CG32772",1650,752,268,3564,3326,672,934,1177,2070
"CG4041",426,227,65,736,694,148,147,211,313
"CG6903",464,250,88,757,801,149,192,219,392
"CG44774",4441,2141,644,11641,10994,2219,2708,3806,6557
"Ptp4E",2497,1069,356,4765,4187,934,989,1527,2595
"CR44833",110,76,11,159,122,20,43,20,65
"SIP3",69,71,20,49,19,6,5,15,26
"CG12680",40,39,10,0,0,0,0,0,0
"ovo",6097,2829,926,19002,16651,3328,3515,4782,8862
"CG32767",8709,3689,1178,19680,17473,3824,4278,7315,11582
"rg",123,47,17,145,152,56,40,47,73
"CG15465",0,0,0,0,0,0,0,0,0
"Rpn13R",110,36,8,53,26,2,15,11,12
"CG5062",116,44,21,21,3,3,14,0,3
"CR44834",28,14,5,0,0,0,1,0,1
"CG42749",104,115,51,21,6,0,7,3,4
"CG3323",190,114,32,38,38,14,4,27,19
"CG17764",58,64,21,40,13,5,15,9,2
"Cdk7",908,406,118,1959,2213,427,451,621,1034
"snf",544,256,83,1092,1173,171,275,380,603
"TrxT",103,31,20,26,7,1,3,0,4
"dhd",13604,6808,1828,35468,40938,7084,9159,11926,20279
"CG4198",105,78,27,105,53,13,9,25,34
"CG15930",93,124,31,46,13,6,20,5,11
"Sas10",920,349,103,1540,1260,277,358,687,905
"Rnp4F",2043,884,363,3680,3734,793,1200,1801,2544
"Mcm3",834,572,142,2710,2341,532,588,726,1229
"CG3309",358,210,43,692,657,117,154,212,357
"XRCC1",622,312,94,1161,1020,228,240,423,668
"CanB",239,82,52,80,69,27,49,47,52
"SK",1908,745,267,1649,1214,357,481,1046,848
"NAAT1",519,284,115,427,399,72,165,485,295
"spoon",12517,5141,1655,23560,22273,4885,5598,9463,14661
"CG4165",2122,937,310,4789,4999,783,1113,1397,2565
"CG16756",370,103,63,271,387,141,109,170,214
"CR45517",158,82,14,362,338,91,65,105,156
"CG15784",1529,449,145,2196,1529,400,575,1025,1240
"CR44471",23,25,6,0,6,1,0,3,0
"SPR",407,183,81,242,202,42,120,182,169
"frma",768,318,115,782,523,174,248,486,491
"CG32762",47,63,16,0,0,0,4,0,3
"CG4151",41,63,6,12,0,0,4,0,1
"CR45519",50,14,12,0,0,0,5,6,0
"CG12730",261,88,72,273,174,24,58,124,113
"CR45518",30,17,10,17,1,0,0,2,2
"snoRNA:Psi28S-3342",634,231,135,1452,813,193,321,414,629
"Vsx2",121,102,28,26,10,3,8,28,11
"Vsx1",166,136,36,25,20,0,11,9,5
"CG34435",57,68,21,13,0,0,0,0,0
"CG34434",120,99,27,22,0,0,22,2,0
"RhoGAP5A",404,309,70,769,848,150,194,351,520
"Mlc-c",2843,1052,361,5398,4780,1045,1372,2299,2870
"mir-3645",0,0,1,23,1,0,0,0,1
"l(1)G0045",297,235,60,611,496,105,138,171,274
"CG42492",1638,614,209,1521,1195,351,394,767,872
"CG42265",725,394,106,340,328,73,83,177,177
"CR45520",100,90,52,2,1,0,7,1,0
"Sirt4",233,128,27,295,255,63,84,100,147
"CG4119",2015,815,305,4554,4592,823,1108,1622,2561
"Rab18",331,155,59,641,447,102,134,210,308
"RpL35",7067,3284,857,11275,10712,2502,3295,4998,5735
"Tre1",322,172,47,582,565,100,173,168,291
"Gr5a",76,96,19,0,3,0,3,2,0
"CR44958",51,32,14,0,5,0,1,0,5
"CG42449",60,92,18,11,2,0,5,4,0
"CG3160",734,373,106,1132,1223,231,298,475,651
"CR45525",65,42,17,72,33,4,11,12,12
"cv",774,322,118,1154,939,212,261,472,598
"CG3149",205,104,33,170,170,49,47,92,94
"CR42794",38,10,2,12,3,3,3,10,0
"CG4096",355,240,46,135,79,28,64,53,88
"CG33080",706,344,119,617,569,125,226,356,335
"CG32758",1823,896,274,3511,3117,687,860,1350,2067
"CG15773",133,68,29,156,84,15,42,40,66
"IntS6",2985,1293,497,7352,5819,1289,1626,2229,4182
"CG4078",725,427,129,1528,1545,342,396,523,919
"CG15772",111,118,29,45,50,7,17,35,27
"lin-52",434,208,64,683,810,168,223,235,437
"CR45528",141,61,35,65,19,6,19,24,20
"CG15771",4799,2162,726,11186,9503,2334,2918,4619,6658
"MAPk-Ak2",1596,706,211,3166,3353,685,855,1292,1999
"CG42699",533,286,105,1050,864,149,247,320,461
"CG3097",413,193,44,379,162,31,92,177,196
"CG42264",104,88,35,4,0,0,7,0,4
"CG3108",185,174,42,19,216,0,13,0,155
"CG15767",61,29,19,6,0,4,6,0,0
"mir-4963",0,0,0,0,0,0,0,0,0
"CR44832",63,31,10,36,11,14,13,17,4
"CG12239",348,192,49,351,251,86,124,153,154
"Cpr5C",34,21,5,0,0,0,0,0,1
"Prosbeta2R1",49,26,14,6,0,0,1,0,0
"CR45529",41,25,4,1,2,0,7,0,0
"CG44329",60,47,6,0,0,0,0,0,0
"CG15766",104,59,30,52,41,26,27,14,56
"CG15765",1009,489,193,1057,848,277,294,704,599
"CR43264",114,49,37,127,131,30,35,130,51
"CG12729",27,28,2,13,0,0,0,0,0
"CG43136",35,35,4,0,0,0,0,0,0
"CG43137",27,43,10,0,0,0,0,0,0
