"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"Naa60",1013,462,171,2250,2272,465,582,804,1324
"ATPsyn-b",1599,634,169,3237,2373,381,751,1239,1214
"CG6749",125,86,22,80,45,18,41,20,35
"mir-4986",0,0,0,0,0,0,0,0,0
"CG42268",1386,546,226,1373,1175,304,388,794,858
"CR44348",20,14,15,6,0,0,2,0,0
"CR45407",7,4,2,21,7,1,0,0,1
"CG8177",3413,1510,495,7696,7050,1394,1771,2419,4240
"Zasp67",259,172,72,70,41,8,30,39,44
"Ilp1",24,49,8,0,12,1,2,2,6
"CG32052",159,86,32,25,30,5,38,18,27
"Ilp2",98,55,27,35,59,9,17,35,46
"Ilp3",80,49,2,38,17,5,6,13,11
"Ilp4",44,36,15,63,0,3,5,5,7
"CG43897",25538,8301,2503,32069,22902,6133,8184,16976,15769
"Ilp5",53,42,28,68,76,14,15,9,28
"I-2",1098,464,138,1906,1985,529,588,931,1157
"Cdk8",237,154,57,489,453,83,103,185,219
"RasGAP1",3580,1354,546,7972,7275,1630,1768,2936,4778
"CG10809",757,390,136,1906,1861,383,561,633,1104
"iPLA2-VIA",1669,719,224,3441,3430,696,778,1058,1658
"CG8108",5602,2470,831,12865,13364,2495,3370,4981,7459
"CR45406",55,13,5,0,0,0,2,0,0
"CG34382",148,114,27,35,74,4,16,0,24
"Taf2",983,447,188,2101,1932,421,552,680,1190
"CalpB",1141,502,163,2355,2102,410,526,1002,1308
"CG6709",0,0,0,0,0,0,0,0,0
"CG14164",0,0,0,0,0,0,0,0,0
"CG6707",1660,566,215,2863,2943,592,694,954,1700
"nudE",2370,923,286,4683,4282,967,1272,1691,2785
"CG34356",431,281,105,108,73,25,57,48,56
"CG6685",221,143,62,467,551,111,130,83,307
"Nc",636,290,98,1635,1683,324,464,481,873
"CG6674",153,120,51,269,308,90,103,126,213
"vnc",1,0,0,0,0,0,0,0,0
"CG42455",0,0,0,0,0,0,0,0,0
"dpr6",519,370,126,736,622,200,184,295,364
"CR45155",31,31,17,17,0,1,0,0,0
"CG14160",149,139,32,185,53,26,28,21,32
"CG32053",107,120,30,73,21,4,5,25,29
"CG32054",223,96,38,212,152,27,69,184,142
"CG42825",1459,152,167,1303,2687,214,808,3100,1256
"CG42826",49,47,24,14,13,2,8,8,1
"dpr10",304,166,58,85,92,26,23,67,65
"snoRNA:MeU2-A31",1,0,0,0,0,0,0,0,0
"CG8072",60,30,14,0,0,0,8,0,0
"CG6628",48,79,12,0,0,0,2,4,6
"ect",312,210,55,101,827,35,49,49,856
"CR44538",65,34,7,0,2,0,13,0,3
"CG8065",49,24,11,15,0,1,4,0,0
"CG32055",79,72,37,27,8,2,8,0,7
"scramb1",840,359,159,1542,1758,310,440,559,859
"CR44542",36,20,6,0,0,0,2,0,0
"CR45403",28,15,9,0,0,0,0,1,2
"CR44541",33,18,4,0,5,0,2,1,0
"Or67c",41,28,19,11,2,0,0,0,0
"CR44539",67,34,20,0,0,0,0,2,0
"CR44540",40,34,7,0,0,0,0,0,0
"can",160,101,34,19,1,5,11,0,4
"CR45242",39,18,10,0,1,3,9,0,0
"Or67d",53,46,22,17,0,0,6,0,4
"mir-276b",3,8,1,0,0,0,0,0,0
"CR45244",39,23,6,1,9,6,6,9,13
"CR44327",575,358,142,185,145,52,125,228,243
"mir-276a",0,0,0,0,0,0,0,0,0
"CR45245",36,43,11,12,0,0,2,0,0
"CR44543",30,16,9,19,4,0,1,0,0
"CR43990",39,25,3,0,0,0,0,3,3
"CG12362",87,73,33,0,4,0,3,0,3
"Ir67b",113,123,24,34,2,1,8,0,2
"Ir67c",63,53,33,0,1,0,5,10,2
"Gem3",1323,558,203,2617,3011,528,694,857,1733
"CG32061",35,11,15,0,0,0,4,4,0
"S-Lap3",183,137,48,9,0,2,10,0,4
"A2bp1",3229,1247,477,5204,3604,943,1000,2005,2457
"S-Lap4",100,102,42,0,7,4,3,4,0
"CG6527",108,107,32,0,4,0,2,0,5
"CG42521",1098,403,165,924,611,283,355,596,592
"CG43127",48,37,18,0,0,0,1,1,0
