"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"Nak",3009,1289,445,7135,6472,1327,1513,2323
"Tango6",447,226,97,790,609,158,183,251
"CG10639",266,128,49,299,358,52,91,136
"CG10431",355,176,57,526,432,95,92,144
"Swip-1",1074,479,103,2080,1948,516,509,552
"CG15168",410,146,44,727,697,155,197,313
"CG15170",133,95,14,122,24,7,16,7
"CG15169",93,68,8,19,6,6,1,6
"CG10650",848,264,97,1386,1238,152,424,675
"CG31792",267,225,83,68,18,4,24,13
"CG31793",758,361,97,685,665,116,222,341
"RpL30",2425,990,272,4080,3704,642,1067,1599
"snoRNA:Me28S-A2113",1,0,1,5,0,0,5,0
"robl37BC",7,18,4,0,0,0,2,0
"CR45292",19,27,9,0,0,0,1,0
"CR44184",47,25,2,0,0,0,1,0
"CG15172",31,38,13,2,0,0,0,9
"CR43700",73,46,19,0,4,0,12,0
"Side",99,123,31,49,14,10,19,28
"hk",599,284,115,1172,1177,239,316,513
"CG31800",346,140,62,647,383,103,165,263
"mib2",919,478,148,1943,1953,314,429,542
"Catsup",1339,574,202,2437,2140,455,699,920
"Ttc19",322,113,31,159,256,48,87,99
"Acn",4378,1852,627,8223,7698,1885,2349,3599
"CG10470",504,295,74,1076,867,185,232,378
"l(2)37Bb",197,136,21,221,265,63,69,133
"Rpn3",1102,429,193,2434,2419,457,561,766
"CG10492",3226,1403,426,9026,8802,1776,2132,2937
"Phlpp",151,148,46,28,17,6,13,1
"CG10495",235,156,39,473,514,74,97,135
"CG10702",751,352,93,1334,1218,219,310,409
"CG17343",178,127,49,358,337,67,101,126
"CG17572",106,67,30,44,17,10,11,17
"CG10700",96,56,27,10,3,0,4,5
"Lim3",340,232,66,187,112,15,62,96
"CG17344",0,0,0,0,0,0,0,0
"CG43731",0,0,0,0,0,0,0,0
"CR44905",66,45,8,0,0,0,4,0
"amd",233,90,33,14,77,23,61,6
"CG10561",320,187,65,494,423,92,155,245
"Ddc",298,218,61,219,188,46,108,139
"l(2)37Cc",2425,1132,339,4989,5131,975,1153,2053
"l(2)37Cb",570,264,94,830,892,245,269,323
"l(2)37Cd",251,144,36,420,439,94,115,165
"Aats-asn",1369,613,158,2208,2149,439,577,824
"l(2)37Ce",414,174,38,767,641,163,172,333
"l(2)37Cg",317,157,51,449,373,49,122,177
"brat",8197,3339,1222,21853,19978,4244,4802,6400
"CR44977",113,62,29,24,12,11,4,4
"CG17568",250,102,51,737,596,110,134,132
"CG42688",35,38,11,0,0,0,3,0
"CR17567",48,22,10,22,9,2,8,12
"gammaTub37C",772,401,125,2454,2862,542,575,866
"pigeon",533,225,103,1284,1084,162,270,260
"drl",269,172,50,219,178,58,90,104
"CR44189",65,23,7,0,0,1,0,0
"CG31797",100,66,16,11,1,6,9,0
"CR44191",26,7,9,12,0,0,4,0
"CR44190",67,83,27,0,0,0,4,0
"CG17564",83,35,15,22,0,0,10,0
"CG10750",60,60,21,0,0,0,2,0
"CR45700",159,81,29,9,5,4,7,3
"CR45258",38,35,12,11,0,0,3,0
"dnt",343,232,77,837,760,190,139,215
"CG13086",84,75,23,108,112,24,34,48
"CG17349",65,44,29,0,0,0,3,4
"CG17350",101,37,19,28,16,12,4,23
"fon",1661,671,191,2733,1986,430,788,1238
"CG17549",1339,449,190,1566,1530,284,605,892
"CG17544",1089,451,150,1161,889,210,405,682
"CG31798",77,56,21,10,0,0,3,0
"Pax",2709,1201,310,4452,3850,920,1300,2382
"snmRNA:359",0,0,0,0,0,0,0,0
"Lectin-galC1",326,136,40,568,456,120,227,325
"lectin-37Da",155,30,15,42,308,19,50,360
"lectin-37Db",477,95,39,553,604,169,207,289
"CG13085",83,33,17,23,15,5,17,18
"CG16771",380,217,57,310,307,83,119,208
"CG9987",600,277,84,989,961,182,297,404
"Rab9",456,220,78,921,752,166,208,230
"CG10237",2144,809,244,3329,3805,936,976,1315
"RanGAP",1367,663,247,3714,3604,703,971,1238
"Hs2st",450,177,80,852,922,182,237,302
"Top2",6445,2513,888,13961,14334,2760,3191,4678
"CG10026",352,129,55,213,150,58,53,104
"tj",3468,1278,499,4091,3543,560,1360,3302
"CR45722",34,14,14,0,3,0,0,0
"CR45723",44,12,10,20,3,0,3,0
"CR43839",81,54,13,1,6,1,1,4
"CG10195",325,179,71,202,233,40,73,103
"CG13084",629,855,383,9881,7859,1500,2495,2743
"CG13083",789,868,486,11539,10438,1895,2940,3093
"CG10194",249,84,56,372,330,43,106,212
"CG18094",103,76,30,112,54,8,29,17
"CG10189",191,117,47,205,174,30,52,83
"swm",3636,1549,468,8975,9059,1656,2190,2865
"Top3alpha",797,460,112,1740,1471,316,373,499
"CG10188",1458,800,225,4095,3758,729,884,1088
"CG10186",703,542,152,636,523,131,241,349
"CR43363",21,26,11,0,2,0,4,2
"CG10132",356,248,96,243,198,58,79,127
"CG10166",522,224,67,829,700,161,215,330
"CG10137",226,162,76,116,67,19,22,79
"CG10165",299,119,57,327,240,67,63,126
"CG33116",636,339,94,1915,1721,295,423,439
"CG31697",32,24,6,26,1,0,2,5
"CR45455",6,8,0,0,0,0,2,1
"CG13082",100,37,27,36,26,0,8,33
"CG13081",41,39,15,0,0,0,3,0
"ref(2)P",5415,1953,647,19312,16548,3581,2464,4373
"CG10337",86,74,29,70,58,24,19,58
"Tep4",2144,654,223,1998,2226,446,606,1065
"Tep5",165,203,36,18,5,0,11,0
"CG13078",46,37,9,0,11,1,7,1
"CG13077",205,108,26,127,85,37,29,119
"spi",1318,552,203,2247,1859,429,708,1102
"mir-2a-2",9,7,4,6,5,0,3,12
"mir-2a-1",17,11,8,20,7,0,2,5
"mir-2b-2",15,8,6,13,2,0,1,0
"msb1l",532,272,85,1562,1611,278,366,380
"CG10268",138,87,42,215,194,27,29,56
"Hakai",241,162,42,645,547,82,164,145
"CG10262",66,55,17,24,37,4,20,19
"CG10366",305,197,56,797,661,133,146,215
"Lar",2244,887,335,3427,3294,675,805,1170
"CR44978",49,54,12,9,3,0,1,8
"CR44979",14,17,8,0,0,0,8,6
"scw",91,71,11,0,0,0,5,0
"CG10462",1502,640,226,3257,2744,658,702,862
"Nf-YB",242,124,31,413,303,125,112,150
"CG10631",2600,1451,448,5798,6138,1382,1235,2349
"CG10628",305,174,18,518,450,121,163,219
"CG10463",352,179,86,408,397,78,105,213
"fbp",1258,530,186,1390,1540,357,513,954
"bsh",150,98,34,4,11,0,19,10
"CdGAPr",1698,776,292,4247,4156,707,924,1046
"CG10466",107,59,13,222,157,38,52,77
"fs(2)ltoPP43",861,395,145,1829,1868,385,542,647
"sick",1926,911,264,2035,1747,395,464,835
"snRNA:U4:38AB",15,4,2,18,15,14,9,2
"snRNA:U5:38ABa",4,2,1,36,14,2,11,3
"snRNA:U2:38ABb",0,0,0,0,0,0,1,0
"CG13962",13,30,7,0,0,0,0,0
"snRNA:U2:38ABa",0,0,0,0,0,0,0,0
"snRNA:U5:38ABb",12,8,4,0,1,0,0,0
"CG10481",121,91,18,7,0,6,8,2
"CR43097",37,13,10,0,0,0,5,0
"TotF",10,10,4,0,0,2,0,0
"Victoria",22,30,9,0,0,0,3,0
"CR43828",94,51,26,27,7,0,15,5
"CR43827",27,24,10,0,0,0,0,0
"CR45183",45,54,16,7,0,0,2,0
"CoIV",3649,1629,449,5607,5763,1153,1507,2387
"CG34051",40,40,15,0,0,0,1,2
"CG42866",29,34,6,0,2,0,2,0
"CG13965",75,43,15,100,39,25,23,45
"CG16772",9282,2330,604,9008,3933,2826,1829,5239
"CR45701",25,6,5,0,0,0,0,0
"CG10680",1116,319,120,1696,1318,404,397,902
"OS9",171,55,12,141,110,25,64,47
"Hf",388,133,44,586,290,140,167,256
"CG43861",212,143,49,58,80,12,21,37
"CR43620",51,41,10,0,0,0,8,0
"CR44908",27,17,18,14,0,0,7,0
"CG10659",131,64,20,6,32,9,21,16
"sNPF",321,147,46,246,174,68,105,155
"barr",716,413,140,2288,2032,355,531,469
"lok",3327,1395,483,9051,9012,1666,1914,2649
"vls",318,152,45,597,524,66,166,185
"bwa",286,161,57,631,511,94,110,126
"CR44907",68,27,8,0,28,0,4,12
"CG10730",106,74,35,2,6,0,7,0
"pr",1186,476,167,2012,2008,447,521,927
"neb",519,238,74,895,1060,174,197,266
"fok",7119,2915,800,15441,14354,3099,3093,5063
"CG10747",327,139,48,321,248,79,100,103
"CG10721",160,75,35,161,150,28,35,44
"Taf13",429,176,89,822,644,130,221,296
"nesd",396,255,60,745,589,148,273,233
"mRpS18B",207,150,40,398,495,81,95,194
"Kua",290,122,44,196,97,25,42,37
"CG13970",90,60,37,0,8,2,11,14
"CG10651",82,39,19,0,0,0,3,1
"CR40341",51,29,8,0,0,0,2,0
"CR40172",22,23,5,0,1,0,3,0
"CR40465",46,37,4,0,4,0,2,0
"CG17571",1467,753,274,3042,2653,352,730,2019
"CG17570",100,34,19,64,66,12,5,16
"CG12617",86,43,21,52,0,0,11,0
"CR43414",45,23,6,5,0,0,0,0
"spir",3264,1522,445,6623,6793,1213,1500,2469
"CR43606",51,32,30,27,0,1,2,3
"La",2347,852,275,3882,4525,820,1176,1617
"RtGEF",2517,1023,284,3584,3563,698,1076,1585
"snoRNA:Me28S-A3365",11,10,0,20,0,0,0,0
"Ugt37a1",84,83,19,12,17,5,9,32
"CG16798",116,120,42,33,24,10,14,6
"CG10947",452,236,63,415,363,120,107,176
"CG10949",295,133,65,317,369,67,99,141
"Arpc2",3488,1257,556,8088,7829,1538,1986,2333
"snoRNA:Psi18S-525a",20,6,2,0,2,0,2,0
"snoRNA:Psi18S-640a",1,1,0,0,1,0,0,0
"snoRNA:Psi18S-525b",9,2,1,0,1,1,0,0
"snoRNA:Psi18S-525c",5,2,2,11,14,3,0,0
"snoRNA:Psi18S-640b",10,5,6,11,15,7,3,13
"snoRNA:Psi18S-525d",3,7,3,0,0,0,0,0
"snoRNA:Psi18S-640c",0,0,0,0,1,0,0,0
"snoRNA:Psi18S-525e",6,12,2,0,0,0,0,0
"snoRNA:Psi18S-640d",8,0,5,0,0,3,0,2
"snoRNA:Psi18S-525f",0,7,0,0,1,0,0,0
"snoRNA:Psi18S-525g",15,7,0,0,7,0,6,10
"snoRNA:Psi18S-640e",9,0,2,0,3,0,3,6
"snoRNA:Psi18S-525h",26,11,1,5,3,0,2,0
"snoRNA:Psi18S-640f",0,11,2,0,0,0,0,3
"snoRNA:Psi18S-525i",4,0,0,7,6,0,0,0
"snoRNA:Psi18S-640g",5,1,0,0,0,0,0,0
"snoRNA:Psi18S-525j",3,5,2,0,2,0,0,0
"CG15130",33,30,20,9,1,0,5,0
"CG31688",675,359,130,1293,1118,161,340,530
"CR43607",35,22,6,9,0,0,3,0
"CG18858",0,0,0,0,0,0,0,0
"CG31683",0,0,0,0,0,0,0,0
"CG31687",62,35,20,87,65,24,23,39
"Cdc23",290,140,46,433,418,104,152,166
"CG2493",863,424,118,1621,1649,293,356,705
"CR44980",65,52,26,0,4,0,3,1
"CG43233",42,24,5,0,0,1,0,0
"CR43234",129,68,11,11,6,3,5,2
"CR45361",90,35,12,33,23,4,2,11
"mir-1",0,0,0,0,0,0,0,0
"CR45360",57,40,13,0,9,0,3,2
"CR45359",74,57,21,9,1,1,3,7
"CG34007",45,18,4,0,13,0,5,0
"CR45702",30,20,7,0,0,0,2,0
"CG44270",30,45,16,0,0,0,0,0
"CR45707",31,16,11,17,2,1,4,0
"CR45347",55,32,7,19,16,10,16,15
"mir-4973",0,0,0,0,0,0,0,0
"CR44909",109,97,26,36,4,8,15,10
"CG31677",31,12,12,0,2,0,6,0
"CR43608",46,34,8,3,0,0,7,0
"CG15475",54,23,17,20,13,1,5,5
"mir-133",13,6,0,0,0,0,0,0
"mir-288",0,6,3,7,0,0,0,0
"CG17472",25,16,5,9,0,0,6,8
"CG31680",21,42,4,4,0,0,1,0
"Sfp38D",55,65,23,0,0,0,3,0
"CG17470",135,91,9,110,114,45,22,41
"phr6-4",392,222,73,941,950,149,243,306
"CG2608",670,335,114,1598,1481,259,397,570
"Uhg3",438,197,42,886,900,187,236,241
"snoRNA:Me28S-C2645a",0,0,0,0,0,0,0,0
"snoRNA:Me28S-C2645b",0,0,0,0,0,0,0,0
"snoRNA:Me28S-C2645c",0,0,0,0,0,0,0,0
"CG18810",69,69,7,8,0,0,3,0
"CG2611",193,97,28,333,254,57,89,121
"bru",2559,1118,368,5599,4910,1051,1301,2155
"CG2614",449,253,89,630,888,173,246,271
"CG31678",1167,582,182,2602,2071,393,480,768
"CR45004",168,173,38,24,4,0,4,0
"ik2",502,332,92,1223,1085,233,321,389
"Cen",2834,1037,385,6895,7007,1392,1689,2237
"CG2617",209,123,53,458,437,91,115,104
"Hr38",512,319,93,500,443,112,83,204
"CR44187",78,35,16,20,0,0,5,0
"CR44188",46,37,18,8,0,0,2,0
"CR45306",8,27,15,1,0,0,1,0
"CG9316",108,91,41,42,9,6,10,0
"CG9317",191,113,46,70,78,9,24,7
"CG9318",1735,670,228,3151,3182,613,888,1196
"Fs(2)Ket",7521,2974,1013,17998,16177,3276,3809,5876
"CG9319",245,145,50,224,284,51,81,148
"Ns4",583,333,87,1229,1069,207,291,427
"CG9323",447,266,113,503,523,58,198,327
"dia",2062,950,370,3818,3335,799,962,1533
"cad",4251,2207,550,11398,12204,2259,2764,4114
"Pomp",2073,927,280,4060,3531,662,1031,1682
"vari",607,346,89,885,893,228,243,373
"CR44146",23,23,4,0,0,0,0,0
"CG9328",1250,591,197,2850,2753,667,770,1105
"CG33322",125,50,18,7,2,1,3,0
"CheB38b",50,59,14,25,5,2,1,0
"CheB38a",92,45,7,100,50,29,22,6
"CheB38c",33,68,21,27,24,12,30,20
"CG9331",1154,501,154,1605,1742,318,400,758
"CG31673",584,249,74,963,1035,220,260,452
"CG31674",260,127,47,477,279,56,82,192
"Oseg5",185,145,37,52,4,3,17,27
"Spn38F",87,38,22,16,3,0,5,0
"CG31676",303,91,31,149,148,44,56,90
"CR44307",27,4,2,0,0,0,0,0
"CG14402",69,71,15,0,0,0,8,2
"twit",144,72,41,150,126,21,42,74
"CG14400",103,49,25,124,72,28,45,65
"CG9336",1095,500,137,1297,1364,366,530,897
"CG9338",145,77,51,169,134,55,28,91
"CG31675",127,63,22,114,102,18,20,71
"CG14401",158,85,35,189,95,21,59,78
"sky",608,147,76,733,831,198,187,346
"CG43739",0,0,0,0,0,0,0,0
"CR44981",139,66,18,0,2,0,8,10
"Mtp",980,396,170,1975,1660,361,386,616
"RPA2",501,286,113,1752,1626,347,448,488
"CG9272",255,112,43,413,373,63,84,122
"CG9270",435,232,66,146,51,19,27,34
"CR44606",54,24,8,0,12,6,3,0
"CG42238",687,364,131,825,840,131,264,353
"Itgbetanu",346,262,110,215,174,44,122,185
"CG9265",533,199,88,1105,899,169,212,174
"tadr",262,144,27,108,107,31,30,38
"CG33511",72,56,27,9,4,0,5,0
"CG33510",102,95,29,14,11,3,11,25
"CG33509",225,79,28,89,60,22,37,35
"ppk13",145,64,25,13,2,4,13,0
"CG9259",674,323,80,551,684,193,229,358
"CG14397",44,48,10,8,0,0,2,3
"CG12050",1679,696,265,2605,2327,564,649,1081
"CG34136",121,76,17,233,157,50,35,41
"CR43809",73,52,24,8,0,0,1,4
"CG9257",510,254,107,1091,1161,207,340,471
"Nhe2",1777,878,313,2173,1603,383,578,909
"CR44056",43,11,5,0,1,0,0,0
"Dap160",2239,974,360,3305,3380,641,919,1450
"CG9253",4515,1688,654,5973,5113,1389,1793,3715
"snoRNA:Me18S-A469",11,9,0,0,0,0,0,0
"del",3447,1321,467,8413,8954,1620,2018,2756
"E2f2",1034,489,119,2804,2544,556,559,664
"Mpp6",232,99,25,325,292,38,84,96
"CG9249",132,78,22,128,99,7,26,43
"CG9248",991,361,131,1605,1624,382,424,647
"Nbr",1099,531,148,2283,2438,506,580,850
"CG9246",3558,1500,519,5417,5372,1184,1598,2961
"CR44910",21,19,7,20,2,0,6,2
"CG43346",0,0,0,0,0,0,0,0
"CG43345",0,0,0,0,0,0,0,0
"Acon",12199,4167,1411,17788,15208,3251,4800,8661
"CG31627",70,32,10,9,0,1,0,0
"bur",3460,1372,404,6453,6708,1280,1621,2186
"scaRNA:PsiU2-38.40.42",46,12,5,37,13,12,15,24
"CR44911",66,51,21,10,3,0,5,5
"Mcm10",1237,493,200,3102,3321,664,800,878
"Ret",272,181,87,36,11,0,11,13
"CG31624",68,33,20,0,0,0,0,0
"CG31988",23,39,10,0,4,0,6,4
"clumsy",444,232,78,223,131,42,65,93
"Atg18b",601,256,79,1026,914,197,263,310
"snRNA:U4:39B",37,5,10,59,40,27,14,4
"CG8679",666,295,99,1679,1590,364,369,507
"CG8677",5856,2355,808,15238,14097,2590,3472,4574
"CG31626",69,118,25,6,15,1,9,12
"CR45713",88,88,26,27,6,5,9,2
"Hr39",1191,630,175,2671,2167,435,559,695
"l(2)k14505",279,155,60,352,454,127,159,224
"CG8671",1605,621,270,3438,3261,632,794,1188
"mir-4974",0,15,2,0,2,0,0,0
"Mio",3552,1595,544,7790,6066,1445,1606,2751
"Gr39a",264,188,66,59,0,4,5,18
"crc",8430,3017,1028,13086,11250,2651,3316,5521
"CR44785",46,48,16,17,2,0,0,0
"CR42696",21,36,4,0,0,0,5,0
"dimm",158,131,52,28,7,1,20,1
"Tsp39D",210,159,61,373,433,58,97,95
"dtr",288,180,84,67,46,7,51,36
"Gr39b",88,56,25,16,0,0,9,0
"CG8665",466,283,103,1554,1191,286,300,336
"nrv3",4398,1519,530,5328,3685,1148,1417,2626
"His1:CG33846",0,0,0,0,0,0,0,0
"His1:CG33843",0,0,0,0,0,0,0,0
"His1:CG33840",0,0,0,0,0,0,0,0
"His1:CG33849",0,0,0,0,0,0,0,0
"His1:CG33801",0,0,0,0,0,0,0,0
"His1:CG33837",0,0,0,0,0,0,0,0
"His1:CG33864",0,0,0,0,0,0,0,0
"His2B:CG33908",0,0,0,0,0,0,0,0
"His2B:CG33910",0,0,0,0,0,0,0,0
"His2B:CG33884",0,0,0,0,0,0,0,0
"His2B:CG33880",0,0,0,0,0,0,0,0
"His2B:CG33870",0,0,0,0,0,0,0,0
"His2B:CG33906",0,0,0,0,0,0,0,0
"His2B:CG33902",0,0,0,0,0,0,0,0
"His2B:CG17949",0,0,0,0,0,0,0,0
"His2B:CG33878",0,0,0,0,0,0,0,0
"His2B:CG33900",0,0,0,0,0,0,0,0
"His2B:CG33886",0,0,0,0,0,0,0,0
"His2B:CG33888",0,0,0,0,0,0,0,0
"His4:CG33909",0,0,0,0,0,0,0,0
"His4:CG33883",0,0,0,0,0,0,0,0
"His4:CG33885",0,0,0,0,0,0,0,0
"His4:CG33903",0,0,0,0,0,0,0,0
"His4:CG33905",0,0,0,0,0,0,0,0
"His4:CG31611",0,0,0,0,0,0,0,0
"His4:CG33901",0,0,0,0,0,0,0,0
"His4:CG33887",0,0,0,0,0,0,0,0
"His4:CG33889",0,0,0,0,0,0,0,0
"His3:CG33848",0,0,0,0,0,0,0,0
"His3:CG33845",0,0,0,0,0,0,0,0
"His3:CG33803",0,0,0,0,0,0,0,0
"His3:CG33842",0,0,0,0,0,0,0,0
"His3:CG33839",0,0,0,0,0,0,0,0
"His3:CG33860",0,0,0,0,0,0,0,0
"His3:CG33857",0,0,0,0,0,0,0,0
"His3:CG33812",0,0,0,0,0,0,0,0
"His3:CG33809",0,0,0,0,0,0,0,0
"His3:CG33806",0,0,0,0,0,0,0,0
"His3:CG31613",0,0,0,0,0,0,0,0
"His3:CG33851",0,0,0,0,0,0,0,0
"His3:CG33821",0,0,0,0,0,0,0,0
"His3:CG33824",0,0,0,0,0,0,0,0
"His3:CG33815",0,0,0,0,0,0,0,0
"His3:CG33818",0,0,0,0,0,0,0,0
"His3:CG33833",0,0,0,0,0,0,0,0
"His3:CG33836",0,0,0,0,0,0,0,0
"His3:CG33854",0,0,0,0,0,0,0,0
"His3:CG33866",0,0,0,0,0,0,0,0
"His3:CG33863",0,0,0,0,0,0,0,0
"His3:CG33827",0,0,0,0,0,0,0,0
"His3:CG33830",0,0,0,0,0,0,0,0
"His1:CG33813",0,0,0,0,0,0,0,0
"His1:CG31617",0,0,0,0,0,0,0,0
"His2A:CG33817",0,0,0,0,0,0,0,0
"His2A:CG31618",0,0,0,0,0,0,0,0
"His2A:CG33820",0,0,0,0,0,0,0,0
"His2A:CG33823",0,0,0,0,0,0,0,0
"His2A:CG33814",0,0,0,0,0,0,0,0
"His2A:CG33826",0,0,0,0,0,0,0,0
"His2A:CG33829",0,0,0,0,0,0,0,0
"His2A:CG33808",0,0,0,0,0,0,0,0
"snmRNA:430:CR33727",0,0,0,0,0,0,0,0
"snmRNA:430:CR33728",0,0,0,0,0,0,0,0
"snmRNA:430:CR33739",0,0,0,0,0,0,0,0
"snmRNA:430:CR33740",0,0,0,0,0,0,0,0
"snmRNA:430:CR33741",0,0,0,0,0,0,0,0
"snmRNA:430:CR33742",0,0,0,0,0,0,0,0
"snmRNA:430:CR33743",0,0,0,0,0,0,0,0
"snmRNA:430:CR33745",0,0,0,0,0,0,0,0
"snmRNA:430:CR33746",0,0,0,0,0,0,0,0
"snmRNA:430:CR33736",0,0,0,0,0,0,0,0
"snmRNA:430:CR33735",0,0,0,0,0,0,0,0
"snmRNA:430:CR33734",0,0,0,0,0,0,0,0
"snmRNA:430:CR33733",0,0,0,0,0,0,0,0
"snmRNA:430:CR33732",0,0,0,0,0,0,0,0
"snmRNA:430:CR33731",0,0,0,0,0,0,0,0
"snmRNA:430:CR33730",0,0,0,0,0,0,0,0
"snmRNA:430:CR33729",0,0,0,0,0,0,0,0
"snmRNA:430:CR33738",0,0,0,0,0,0,0,0
"snmRNA:430:CR33737",0,0,0,0,0,0,0,0
"snmRNA:430:CR33744",0,0,0,0,0,0,0,0
"His1:CG33804",0,0,0,0,0,0,0,0
"His2B:CG33882",4,0,0,0,0,0,0,0
"His2B:CG33898",0,0,0,0,0,0,0,0
"His2B:CG33872",0,0,0,0,0,0,0,0
"His2B:CG33904",0,0,0,0,0,0,0,0
"His2B:CG33874",0,0,0,0,0,0,0,0
"His2B:CG33896",0,0,0,0,0,0,0,0
"His2B:CG33894",0,0,0,0,0,0,0,0
"His2B:CG33876",0,0,0,0,0,0,0,0
"His2B:CG33892",0,0,0,0,0,0,0,0
"His2B:CG33890",0,0,0,0,0,0,0,0
"His4:CG33907",0,1,0,4,9,1,2,3
"His1:CG33807",0,0,0,0,0,0,0,0
"His1:CG33852",0,0,0,0,0,0,0,0
"His2A:CG33841",0,0,0,0,0,0,0,0
"His2A:CG33838",0,0,0,0,0,0,0,0
"His2A:CG33844",0,0,0,0,0,0,0,0
"His2A:CG33850",0,0,0,0,0,0,0,0
"His2A:CG33847",0,0,0,0,0,0,0,0
"His2A:CG33832",0,0,0,0,0,0,0,0
"His2A:CG33835",0,0,0,0,0,0,0,0
"His2A:CG33865",0,0,0,0,0,0,0,0
"His2A:CG33862",0,0,0,0,0,0,0,0
"His1:CG33816",0,0,0,0,0,0,0,0
"His1:CG33810",0,0,0,0,0,0,0,0
"His1:CG33819",0,0,0,0,0,0,0,0
"His1:CG33822",0,0,0,0,0,0,0,0
"His1:CG33825",0,0,0,0,0,0,0,0
"His1:CG33828",0,0,0,0,0,0,0,0
"His1:CG33831",0,0,0,0,0,0,0,0
"His2B:CG33868",43,39,27,18,6,7,6,6
"His4:CG33897",0,0,0,0,0,0,0,0
"His4:CG33895",0,0,0,0,0,0,0,0
"His4:CG33899",0,0,0,0,0,0,0,0
"His4:CG33893",0,0,0,0,0,0,0,0
"His4:CG33891",0,0,0,0,0,0,0,0
"His1:CG33834",18,6,2,50,57,6,14,16
"His4:CG33869",0,0,0,0,0,0,0,0
"His4:CG33879",0,0,0,0,0,0,0,0
"His4:CG33881",0,0,0,0,0,0,0,0
"His4:CG33877",0,0,0,0,0,0,0,0
"His2A:CG33859",0,0,0,0,0,0,0,0
"His2A:CG33856",0,0,0,0,0,0,0,0
"His2A:CG33853",0,0,0,0,0,0,0,0
"His4:CG33875",0,0,0,0,0,0,0,0
"His4:CG33871",0,0,0,0,0,0,0,0
"His4:CG33873",0,0,0,0,0,0,0,0
"His1:CG33858",0,0,0,0,0,0,0,0
"His1:CG33861",0,0,0,0,0,0,0,0
"His1:CG33855",0,0,0,0,0,0,0,0
"Lamp1",9261,3121,1151,17151,16806,3838,4383,6198
"nompB",130,115,35,39,10,6,7,27
"CG2201",1734,616,259,2997,2718,505,676,1126
"CR43148",84,48,11,8,20,2,21,13
"Df31",17414,8446,2766,50015,45283,9915,11947,16144
"CR44993",32,8,8,9,4,0,0,0
"Ac3",459,296,100,218,85,24,75,79
"CR43144",62,47,11,53,23,11,12,7
"Cul2",1924,627,269,3862,3918,790,959,1316
"CG2225",934,475,145,961,860,192,250,461
"EF2",28406,11046,3148,58770,53704,10278,12680,23910
"snmRNA:254",43,9,0,23,29,19,20,14
"CG31619",841,474,156,620,436,137,136,350
"step",2372,979,391,5145,4481,1033,1043,1438
"CG1416",1422,627,203,4952,4402,993,736,959
"CG31612",357,210,70,399,337,83,113,138
"CG11630",139,78,30,8,4,2,1,12
"CR44269",27,30,15,6,0,0,3,0
"CR44786",113,121,28,28,0,0,2,0
"tsh",570,298,94,582,497,93,128,251
"CR44917",122,86,27,0,1,4,10,0
"CR44918",40,65,20,10,1,0,1,0
"CR44919",52,45,17,16,0,0,5,2
"CR44920",32,37,11,0,0,0,2,0
"CR45362",68,44,20,0,0,0,9,0
"CR43762",59,49,9,0,0,0,5,1
"CG11629",79,59,17,0,0,0,12,0
"CG1421",29,31,14,10,0,0,0,0
"CG1428",94,89,43,2,0,0,7,2
"CG31600",18,40,7,0,2,0,4,0
"CG11634",100,83,40,8,0,2,0,0
"CR45334",52,47,11,21,0,0,0,0
"CR45704",22,29,9,0,0,0,5,0
"CR45703",9,4,3,0,0,3,0,0
"CR44217",53,18,2,0,0,0,0,0
"CR44803",19,39,10,0,0,0,4,0
"CR44804",6,6,3,0,0,0,1,0
"CG2528",76,99,35,16,0,0,11,0
"CR44916",55,15,10,0,0,0,0,5
"CG31693",101,73,37,6,1,0,6,4
"tio",414,177,55,293,286,35,56,101
"CR33987",10,6,3,0,0,0,4,0
"CR45335",51,45,10,15,0,0,4,0
"CG41434",109,63,42,7,0,0,0,1
"CG31601",102,74,55,20,3,0,5,0
"CG34173",18,27,14,0,0,0,4,0
"CG42597",27,29,4,0,0,0,0,0
"CG31702",45,10,9,0,0,0,4,0
"ttm3",72,39,12,0,0,0,7,0
"CG31703",51,19,12,0,0,0,1,0
"CG15219",11,14,9,0,1,0,0,0
"CG10834",16,8,14,0,0,0,0,0
"CG6675",149,79,19,73,30,9,19,34
"CG3651",1120,555,212,2242,2184,339,528,729
"CycK",1648,768,224,3369,3271,607,825,875
"CR43241",55,36,13,54,42,8,13,7
"CG42748",2855,1303,438,4658,4116,869,928,1733
"CG34137",70,38,21,35,14,2,4,11
"Clamp",1595,701,212,4257,4087,828,957,1242
"CR44809",39,24,6,9,18,10,1,1
"CG3635",86,75,24,112,68,9,14,20
"Ir40a",174,145,62,35,39,9,18,24
"CR43765",19,40,17,0,0,0,8,0
"CG3262",1241,702,250,1601,1280,396,528,872
"RpL21",13056,5799,1587,19995,18772,4090,5899,9362
"Tif-IA",1446,447,195,2667,2945,511,607,976
"CG17018",10300,4223,1498,32570,30225,5750,6878,8919
"RpL5",23702,9683,2656,40536,36087,7669,10253,18020
"snoRNA:Psi28S-2996",21,17,0,0,4,0,0,5
"CG17490",1090,391,143,1504,1440,290,457,501
"CG17493",1355,545,223,2319,2445,436,701,626
"CG17494",2519,897,388,5753,5810,1145,1378,1669
"CG40006",746,293,133,1539,1300,269,342,467
